condition,neuron,population,rate_hz,tp_pre,fp_pre,tp_post,fp_post,predicted_out
mauve,105,E5,2.1633,12,7,12,8,19
mauve,106,E5,2.1667,26,16,16,22,42
mauve,107,E5,2.1667,30,31,15,19,61
mauve,108,E5,2.1633,9,3,15,10,12
mauve,109,E5,2.1633,9,6,15,8,15
mauve,110,E5,2.1411,1,3,9,3,4
mauve,111,E5,2.1644,23,18,14,7,41
mauve,112,E5,2.1244,2,6,8,4,8
mauve,113,E5,2.1622,17,6,12,13,23
mauve,114,E5,2.1611,12,4,11,4,16
mauve,115,E5,2.1656,38,23,13,14,61
mauve,116,E5,2.1667,19,21,9,16,40
mauve,117,E5,2.1656,24,9,12,12,33
mauve,118,E5,2.16,15,2,14,17,17
mauve,119,E5,2.1644,26,12,16,11,38
mauve,120,E5,2.1611,14,5,17,8,19
mauve,121,E5,2.1667,21,31,18,14,52
mauve,122,E5,2.1622,16,4,13,7,20
mauve,123,E5,2.1578,15,4,17,7,19
mauve,124,E5,2.1667,16,33,14,11,49
mauve,125,E5,2.1667,23,26,15,12,49
mauve,126,E5,2.1611,12,3,14,7,15
mauve,127,E5,2.1644,8,3,14,5,11
mauve,128,E5,2.1589,17,6,7,12,23
mauve,129,E5,2.1611,21,6,8,11,27
mauve,130,E5,2.1522,17,4,14,5,21
mauve,131,E5,2.1578,2,5,13,3,7
mauve,132,E5,2.1656,12,6,14,7,18
mauve,133,E5,2.1589,5,3,14,6,8
mauve,134,E5,2.1378,3,1,17,8,4
mauve,135,E5,2.1389,3,6,15,2,9
mauve,136,E5,2.1644,14,7,16,11,21
mauve,137,E5,2.1622,18,4,17,8,22
mauve,138,E5,2.1633,9,7,13,6,16
mauve,139,E5,2.1667,20,8,17,12,28
mauve,140,E5,2.1667,28,18,18,17,46
mauve,141,E5,2.1611,15,6,19,7,21
mauve,142,E5,2.1644,21,9,18,8,30
mauve,143,E5,2.1656,25,17,15,14,42
mauve,144,E5,2.1233,1,22,14,4,23
mauve,145,E5,2.16,9,6,12,6,15
mauve,146,E5,2.1467,5,3,16,4,8
mauve,147,E5,2.1333,0,7,13,6,7
mauve,148,E5,2.1622,11,8,17,6,19
mauve,149,E5,2.1533,2,3,14,9,5
mauve,150,E5,2.1467,7,4,12,8,11
mauve,151,E5,2.1667,21,14,15,18,35
mauve,152,E5,2.1656,17,11,19,10,28
mauve,153,E5,2.1644,35,13,12,8,48
mauve,154,E5,2.1578,9,9,13,11,18
mauve,155,E5,2.1456,6,13,7,8,19
mauve,156,E5,2.1667,23,27,16,18,50
mauve,157,E5,2.1311,2,14,8,11,16
mauve,158,E5,2.1278,2,11,16,4,13
mauve,159,E5,2.16,8,3,16,7,11
mauve,160,E5,2.1522,5,5,14,8,10
mauve,161,E5,2.1656,25,8,17,14,33
mauve,162,E5,2.1611,5,2,17,6,7
mauve,163,E5,2.1622,22,14,16,11,36
mauve,164,E5,2.1656,26,25,19,9,51
mauve,165,E5,2.1667,22,36,16,16,58
mauve,166,E5,2.1667,27,14,17,13,41
mauve,167,E5,2.1667,25,17,17,16,42
mauve,168,E5,2.1667,19,7,14,6,26
mauve,169,E5,2.1644,25,10,13,12,35
mauve,170,E5,2.1378,1,19,11,2,20
mauve,171,E5,2.1644,8,4,15,5,12
